1,1,19,,,,,,2018-12-14T18:49:03.000Z,1
2,5,35,42,44,,,,2018-07-06T20:48:44.000Z,0
3,10,17,26,27,28,31,32,2018-05-18T21:27:28.000Z,1
4,2,5,18,22,27,46,,2018-04-21T18:22:21.000Z,0
5,23,24,40,41,43,,,2018-04-21T19:18:49.000Z,1
6,4,9,44,,,,,2018-04-21T20:00:43.000Z,0
7,13,17,44,47,,,,2018-06-10T19:44:25.000Z,1
8,4,45,,,,,,2018-06-10T20:42:43.000Z,0
9,5,15,22,,,,,2018-05-01T22:08:18.000Z,1
10,17,29,47,,,,,2018-02-01T23:08:47.000Z,0
11,9,27,37,48,,,,2018-06-08T21:07:34.000Z,1
12,1,17,35,46,,,,2018-05-04T16:02:23.000Z,0
13,4,22,25,,,,,2018-05-04T20:45:17.000Z,1
14,17,18,28,47,,,,2018-05-11T19:03:59.000Z,0
15,12,27,28,,,,,2018-02-04T16:38:04.000Z,1
16,16,32,45,,,,,2018-01-07T16:36:38.000Z,0
17,7,11,17,40,,,,2018-05-14T20:56:24.000Z,1
18,15,39,,,,,,2018-05-21T16:55:13.000Z,0
19,49,,,,,,,2018-05-21T17:41:49.000Z,1
20,20,21,35,36,,,,2018-11-19T17:08:09.000Z,0
21,6,9,13,35,43,,,2018-11-17T14:02:49.000Z,1
22,0,2,32,46,,,,2018-05-27T20:06:58.000Z,0
23,3,18,35,,,,,2018-11-18T16:28:48.000Z,1
24,27,30,46,,,,,2018-04-19T21:51:20.000Z,0
25,17,47,,,,,,2018-06-21T14:55:46.000Z,1
26,35,38,,,,,,2018-05-10T22:17:53.000Z,0
27,5,22,46,,,,,2018-05-10T22:23:18.000Z,1
28,0,8,42,,,,,2018-05-17T14:44:02.000Z,0
29,0,4,46,,,,,2018-05-17T16:13:22.000Z,1
30,4,16,49,,,,,2018-05-31T15:03:04.000Z,0
31,4,11,36,,,,,2018-05-31T15:40:26.000Z,1
32,0,22,37,,,,,2018-05-31T15:57:11.000Z,0
33,20,27,28,,,,,2018-05-31T15:57:46.000Z,1
34,33,35,42,43,,,,2018-05-31T16:31:55.000Z,0
35,27,28,39,41,,,,2018-02-05T17:13:33.000Z,1
36,18,35,,,,,,2018-06-12T16:42:16.000Z,0
37,31,44,49,,,,,2018-06-12T22:03:40.000Z,1
38,2,8,12,,,,,2018-04-04T15:36:09.000Z,0
39,12,33,42,,,,,2018-04-11T19:43:59.000Z,1
40,24,27,28,44,,,,2018-01-02T17:39:53.000Z,0
41,4,14,28,41,42,,,2018-07-11T17:17:56.000Z,1
42,7,15,33,40,49,,,2018-10-03T17:16:34.000Z,0
43,16,23,32,45,,,,2018-05-25T19:52:05.000Z,1
44,16,19,29,,,,,2018-05-28T17:20:09.000Z,0
45,10,27,28,,,,,2018-05-28T17:52:21.000Z,1
46,5,22,24,,,,,2018-05-19T18:42:09.000Z,0
47,12,21,25,39,,,,2018-09-15T16:40:44.000Z,1
48,4,9,46,,,,,2018-07-08T16:51:52.000Z,0
49,2,11,27,45,,,,2018-06-03T16:52:26.000Z,1
50,17,23,29,42,,,,2018-06-03T20:30:12.000Z,0
51,7,11,37,45,,,,2018-05-27T17:43:30.000Z,1
52,14,44,,,,,,2018-05-17T17:41:18.000Z,0
