17850,shrimp,6,4,2018-12-14T18:49:00.000Z,1
17850,burgers,6,4,2018-07-06T20:48:00.000Z,0
17850,chutney,8,4,2018-05-18T21:27:00.000Z,1
17850,turkey,6,4,2018-04-21T18:22:00.000Z,0
17850,mineral water,6,4,2018-04-21T19:18:00.000Z,1
17850,low fat yogurt,2,0,2018-04-21T20:00:00.000Z,0
17850,whole wheat pasta,6,4,2018-06-10T19:44:00.000Z,1
17850,soup,6,4,2018-06-10T20:42:00.000Z,0
17850,frozen vegetables,6,4,2018-05-01T22:08:00.000Z,1
13047,french fries,2,0,2018-02-01T23:08:00.000Z,0
13047,eggs,6,4,2018-06-08T21:07:00.000Z,1
13047,cookies,6,4,2018-05-04T16:02:00.000Z,0
13047,turkey,8,4,2018-05-04T20:45:00.000Z,1
13047,spaghetti,6,4,2018-05-11T19:03:00.000Z,0
13047,mineral water,6,4,2018-02-04T16:38:00.000Z,1
13047,mineral water,3,0,2018-01-07T16:36:00.000Z,0
13047,shrimp,2,0,2018-05-14T20:56:00.000Z,1
13047,turkey,3,0,2018-05-21T16:55:00.000Z,0
13047,turkey,3,0,2018-05-21T17:41:00.000Z,1
13047,meatballs,4,0,2018-11-19T17:08:00.000Z,0
13047,red wine,4,0,2018-11-17T14:02:00.000Z,1
13047,rice,6,4,2018-05-27T20:06:00.000Z,0
13047,spaghetti,3,0,2018-11-18T16:28:00.000Z,1
13047,burgers,3,0,2018-04-19T21:51:00.000Z,0
13047,eggs,3,0,2018-06-21T14:55:00.000Z,1
13047,parmesan cheese,3,0,2018-05-10T22:17:00.000Z,0
12583,ground beef,1,0,2018-05-10T22:23:00.000Z,1
12583,sparkling water,3,0,2018-05-17T14:44:00.000Z,0
12583,mineral water,12,4,2018-05-17T16:13:00.000Z,1
12583,frozen vegetables,12,5,2018-05-31T15:03:00.000Z,0
12583,herb & pepper,10,4,2018-05-31T15:40:00.000Z,1
12583,mineral water,6,4,2018-05-31T15:57:00.000Z,0
12583,turkey,10,4,2018-05-31T15:57:00.000Z,1
12583,frozen vegetables,4,0,2018-05-31T16:31:00.000Z,0
12583,cookies,10,5,2018-02-05T17:13:00.000Z,1
12583,pickles,10,4,2018-06-12T16:42:00.000Z,0
12583,energy bar,10,4,2018-06-12T22:03:00.000Z,1
12583,red wine,10,4,2018-04-04T15:36:00.000Z,0
12583,mineral water,6,4,2018-04-11T19:43:00.000Z,1
12583,pickles,10,5,2018-01-02T17:39:00.000Z,0
12583,spaghetti,10,4,2018-07-11T17:17:00.000Z,1
12583,fresh tuna,12,4,2018-10-03T17:16:00.000Z,0
12583,spaghetti,10,4,2018-05-25T19:52:00.000Z,1
12583,soup,10,4,2018-05-28T17:20:00.000Z,0
12583,escalope,8,4,2018-05-28T17:52:00.000Z,1
12583,soup,3,0,2018-05-19T18:42:00.000Z,0
13748,mineral water,10,4,2018-09-15T16:40:00.000Z,1
17850,mineral water,6,4,2018-07-08T16:51:00.000Z,0
17850,avocado,6,4,2018-06-03T16:52:00.000Z,1
17850,burgers,6,4,2018-06-03T20:30:00.000Z,0
17850,spaghetti,6,4,2018-05-27T17:43:00.000Z,1
17850,fresh tuna,8,4,2018-05-17T17:41:00.000Z,0
17850,spaghetti,6,4,2018-07-13T23:19:00.000Z,1
17850,spaghetti,6,4,2018-11-09T20:21:00.000Z,0
17850,french fries,6,4,2018-11-09T20:53:00.000Z,1
17850,tomato sauce,6,4,2018-11-30T18:45:00.000Z,0
17850,turkey,6,4,2018-10-26T02:02:00.000Z,1
17850,eggs,2,0,2018-04-23T21:07:00.000Z,0
